Source,Description,Link
Health Canada,Shingrix monograph,https://pdf.hres.ca/dpd_pm/00082294.PDF
Public Health agency of Canada,NACI recommandations,https://publications.gc.ca/collections/collection_2025/aspc-phac/HP40-388-2025-1-eng.pdf
Province of AB,Provincial eligibility criteria,https://www.albertahealthservices.ca/assets/info/hp/cdc/if-hp-cdc-herpes-zost-info-sht-07-215.pdf
Province of AB,Provincial eligibility criteria,https://myhealth.alberta.ca/Topic/Immunization/pages/shingrix-shingles-vaccine.aspx
Province of ON,Provincial eligibility criteria,https://www.ontario.ca/files/2024-03/moh-shingrix-patient-fact-sheet-en-2024-02-15_0.pdf
Province of ON,Provincial eligibility criteria,https://www.ontario.ca/page/shingles-vaccine
Province of BC,Provincial eligibility criteria,https://www.healthlinkbc.ca/healthlinkbc-files/shingles-vaccine
Province of MB,Provincial eligibility criteria,https://www.gov.mb.ca/health/publichealth/diseases/shingles.html
Province of NB,Provincial eligibility criteria,https://www2.gnb.ca/content/gnb/en/departments/health/patientinformation/PrimaryHealthCare/pharmacy_services/shingles.html
Province of NL,Provincial eligibility criteria,https://www.gov.nl.ca/releases/2025/health/0829n04/
Province of NL,Provincial eligibility criteria,https://www.gov.nl.ca/releases/2025/health/0602n07/
Province of NS,Provincial eligibility criteria,https://novascotia.ca/dhw/cdpc/documents/shingles-immunization-information-healthcare-professionals.pdf
Province of PEI,Provincial eligibility criteria,https://www.princeedwardisland.ca/en/news/free-shingles-vaccine-program-expanded-to-include-islanders-50-and-over
Province of Qc,Provincial eligibility criteria,https://msss.gouv.qc.ca/professionnels/vaccination/piq-vaccins/zona-su-vaccin-sous-unitaire-contre-le-zona/
Province of SK,Provincial eligibility criteria,https://novascotia.ca/dhw/cdpc/documents/shingles-immunization-information-healthcare-professionals.pdf
Territory - NWT,Provincial eligibility criteria,N/A
Territory - Nunavut,Provincial eligibility criteria,N/A
Territory - Yukon,Provincial eligibility criteria,https://open.yukon.ca/information/9a5f1a39-3ef6-4bd8-a118-5c507fda8df9/resource/e36559e0-48fc-42ca-85c8-916a21c71f35/download/21-489.html
Territory - Yukon,Provincial eligibility criteria,https://yukonimmunization.ca/diseases-and-vaccines/shingles
Governement of Canada,Other - Summary of NACI recommandation,https://www.canada.ca/en/public-health/services/publications/vaccines-immunization/national-advisory-committee-immunization-summary-updated-recommendations-herpes-zoster-vaccination-adults-immunocompromised.html
Governement of Canada,Other - Canadian Immunization guide,https://www.canada.ca/en/public-health/services/publications/healthy-living/canadian-immunization-guide-part-4-active-vaccines/page-8-herpes-zoster-(shingles)-vaccine.html
CDC,Other- Shingles,https://www.cdc.gov/shingles/index.html
